Abbotsford,_Wisconsin 44.946356 -90.315969
Abbyville,_Kansas 37.9708468 -98.2042298
Aberdeen,_Mississippi 33.8251139 -88.5436553
Aberdeen,_Washington 46.9753708 -123.8157218
Abilene,_Texas 32.4464534 -99.7333478
Abingdon,_Virginia 36.7095788 -81.9774878
Aboite,_Indiana 41.0008846 -85.3180256
Ackerman,_Mississippi 33.3117185 -89.1711082198
Acton-Vale,_Quebec 45.647633 -72.5637605
Adamsville,_Michigan 41.7853265 -85.9938917
Adrian,_Michigan 41.8975471 -84.0371659
Aiken,_South Carolina 33.5598586 -81.721952
Akron,_Ohio 41.0830643 -81.5184854
Alanson,_Michigan 45.4441778 -84.7867115
Albany New York 42.6511674 -73.754968
Albert Lea,_Minnesota 43.6480127 -93.3682656
Albion,_Michigan 42.243097 -84.7530304
Albion,_Nebraska 41.6908444 -98.0036724
Aldine,_Texas 29.932445 -95.3802149
Alexandria,_Minnesota 45.8846686 -95.377883
Alexandria,_Missouri 40.3594887 -91.455432
Alger,_Michigan 46.4047895 -86.5280993
Algona,_Iowa 43.0699663 -94.233019
Allegan,_Michigan 42.5867203 -85.8861492
Allen Park,_Michigan 42.2575385 -83.2110375
Allenton,_Rhode Island 41.5439902 -71.4678357
Allentown,_New Jersey 40.1778887 -74.5834887
Alliance,_Nebraska 42.1000872 -102.8706439
Allouez,_Wisconsin 44.4774269 -88.0163556
Alma,_Arkansas 35.4998715 -94.1765551373
Alma,_Quebec 48.5486852 -71.6512261
Alpena,_Michigan 45.0616794 -83.4327528
Alpine,_Arizona 33.8481076 -109.1431325
Alpine,_Wyoming 43.1751993 -111.0346562
Alstead,_New Hampshire 43.1489663 -72.3606431
Altamont,_Kansas 37.1903448 -95.2971928
Altamont,_South Dakota 44.8396869 -96.6895039
Alto,_Michigan 42.8566988 -85.3802937
Alva,_Oklahoma 36.8050308 -98.6664737
Alvin,_Texas 29.4238472 -95.2441009
American Falls,_Idaho 42.7860227 -112.8544377
Ames,_Iowa 42.0346917 -93.6201507
Amherst,_Nova Scotia 45.8347665 -64.2132284
Amqui,_Quebec 48.4656706 -67.4315171
Anaconda,_Montana 46.1287944 -112.9423687
Anadarko,_Oklahoma 35.072562 -98.2436626
Angola,_Indiana 41.634874 -84.99928
Aniwa,_Wisconsin 44.974207 -89.1627576374
Ann Arbor,_Michigan 42.2681569 -83.7312291
Anna,_Illinois 37.4603274 -89.2470282
Annapolis,_Maryland 38.9786401 -76.492786
Annapolis Royal,_Nova Scotia 44.7458824 -65.5136186
Anoka,_Minnesota 45.1977428 -93.3871758
Appleton,_Wisconsin 44.2611337 -88.4067604
Appling,_Georgia 31.7771435 -82.2996274
Arco,_Idaho 43.635336 -113.2999525
Arlington,_Kansas 37.8966808 -98.1786739
Arlington,_South Dakota 44.3644133 -97.1331212
Arlington,_Texas 32.7355816 -97.1071186
Arlington,_Wisconsin 43.338044 -89.3803956
Armstrong,_Quebec 45.9492469 -70.4434533
Arnett,_Oklahoma 36.1350421 -99.7748384
Anna,_Illinois 37.4603274 -89.2470282
Annapolis Maryland 38.9786401 -76.492786
Annapolis Royal Nova Scotia 44.7458824 -65.5136186
Anoka,_Minnesota 45.1977428 -93.3871758
Appleton Wisconsin 44.2611337 -88.4067604
Appleton,_Wisconsin 44.2611337 -88.4067604
Appling,_Georgia 31.7771435 -82.2996274
Arco,_Idaho 43.635336 -113.2999525
Arlington,_Kansas 37.8966808 -98.1786739
Arlington,_South Dakota 44.3644133 -97.1331212
Arlington,_Texas 32.7355816 -97.1071186
Arlington,_Wisconsin 43.338044 -89.3803956
Arlington,_Wisconsin 43.338044 -89.3803956
Arlington,_Wisconsin 43.338044 -89.3803956
Armstrong,_Quebec 45.9492469 -70.4434533
Armstrong,_Quebec 45.9492469 -70.4434533
Armstrong,_Quebec 45.9492469 -70.4434533
Arnett,_Oklahoma 36.1350421 -99.7748384
Anna,_Illinois 37.4603274 -89.2470282
Annapolis Maryland 38.9786401 -76.492786
Annapolis Royal Nova Scotia 44.7458824 -65.5136186
Anoka,_Minnesota 45.1977428 -93.3871758
Appleton Wisconsin 44.2611337 -88.4067604
Appleton,_Wisconsin 44.2611337 -88.4067604
Appling,_Georgia 31.7771435 -82.2996274
Arco,_Idaho 43.635336 -113.2999525
